,commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,devise,source,annee,mois,trimestre,jour_semaine,ville,region,segment,date_inscription,nom,categorie,fournisseur,tranche_montant,saison,est_annulee,ca_perdu,delai_inscription_commande
35,CMD-Q1-00036,CLI0309,PRD0046,5,69.9,349.5,2024-03-28,annulée,PayPal,Occitanie,EUR,Q1_2024,2024,3,1,Thursday,Montpellier,PACA,Particulier,2022-05-14,Produit_Tél_46,Téléphonie,ElecPlus,100-500€,printemps,True,349.5,684 days
36,CMD-Q1-00037,CLI0498,PRD0023,6,163.48,980.8799999999999,2024-01-28,livrée,CB,Île-de-France,EUR,Q1_2024,2024,1,1,Sunday,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Inf_23,Informatique,TechPro,500-2000€,hiver,False,0.0,1319 days
37,CMD-Q1-00038,CLI0173,PRD0093,4,62.68,250.72,2024-03-19,livrée,PayPal,Auvergne-RA,EUR,Q1_2024,2024,3,1,Tuesday,Toulouse,Île-de-France,PME,2023-05-28,Produit_Acc_93,Accessoires,ElecPlus,100-500€,printemps,False,0.0,296 days
38,CMD-Q1-00039,CLI0337,PRD0022,7,235.27,1646.89,2024-03-22,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Friday,Strasbourg,Nouvelle-Aquitaine,PME,2023-07-27,,,,500-2000€,printemps,False,0.0,239 days
39,CMD-Q1-00040,CLI0401,PRD0004,2,42.82,85.64,2024-01-04,livrée,CB,Île-de-France,EUR,Q1_2024,2024,1,1,Thursday,Paris,Auvergne-RA,Startup,2020-06-02,Produit_Inf_4,Informatique,DataStore,<100€,hiver,False,0.0,1311 days
40,CMD-Q1-00041,CLI0299,PRD0123,4,71.91,287.64,2024-01-27,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Saturday,Bordeaux,Nouvelle-Aquitaine,Particulier,2023-02-24,Produit_Sto_123,Stockage,ElecPlus,100-500€,hiver,False,0.0,337 days
41,CMD-Q1-00042,CLI0030,PRD0132,7,66.14,462.98,2024-01-30,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Tuesday,Nice,PACA,Grand Compte,2022-10-25,Produit_Rés_132,Réseau,MediaShop,100-500€,hiver,False,0.0,462 days
42,CMD-Q1-00043,CLI0237,PRD0090,7,80.66,564.62,2024-01-06,en_cours,CB,PACA,EUR,Q1_2024,2024,1,1,Saturday,Paris,Occitanie,PME,2023-05-30,Produit_Acc_90,Accessoires,TechPro,500-2000€,hiver,False,0.0,221 days
43,CMD-Q1-00044,CLI0155,PRD0094,6,167.61,1005.6600000000001,2024-02-08,retournée,CB,Occitanie,EUR,Q1_2024,2024,2,1,Thursday,Marseille,PACA,PME,2021-09-28,Produit_Acc_94,Accessoires,ElecPlus,500-2000€,hiver,False,0.0,863 days
44,CMD-Q1-00045,CLI0171,PRD0135,3,112.71,338.13,2024-03-22,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Friday,Lyon,Auvergne-RA,Particulier,2020-10-29,,,,100-500€,printemps,False,0.0,1240 days
45,CMD-Q1-00046,CLI0450,PRD0022,8,235.27,1882.16,2024-02-13,annulée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,Tuesday,Nantes,Auvergne-RA,Particulier,2023-06-29,,,,500-2000€,hiver,True,1882.16,229 days
46,CMD-Q1-00047,CLI0442,PRD0009,1,58.82,58.82,2024-02-14,en_cours,Chèque,Occitanie,EUR,Q1_2024,2024,2,1,Wednesday,Paris,Auvergne-RA,Grand Compte,2020-02-23,Produit_Inf_9,Informatique,ElecPlus,<100€,hiver,False,0.0,1452 days
47,CMD-Q1-00048,CLI9966,PRD0083,3,173.76,521.28,2024-01-29,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,Monday,,,,,Produit_Acc_83,Accessoires,DataStore,500-2000€,hiver,False,0.0,
48,CMD-Q1-00049,CLI0016,PRD0087,8,72.84,582.72,2024-03-17,retournée,CB,Occitanie,EUR,Q1_2024,2024,3,1,Sunday,Paris,PACA,Particulier,2020-03-03,Produit_Acc_87,Accessoires,ElecPlus,500-2000€,printemps,False,0.0,1475 days
49,CMD-Q1-00050,CLI0491,PRD0010,1,81.94,81.94,2024-03-20,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Wednesday,Montpellier,PACA,Particulier,2022-06-11,Produit_Inf_10,Informatique,MediaShop,<100€,printemps,False,0.0,648 days
50,CMD-Q1-00051,CLI0495,PRD0134,7,487.38,3411.66,2024-03-09,annulée,CB,Occitanie,EUR,Q1_2024,2024,3,1,Saturday,Nice,PACA,Startup,2021-12-09,Produit_Rés_134,Réseau,DataStore,>2000€,printemps,True,3411.66,821 days
51,CMD-Q1-00052,CLI0302,PRD0068,9,12.48,112.32000000000001,2024-03-07,retournée,CB,Occitanie,EUR,Q1_2024,2024,3,1,Thursday,Montpellier,Occitanie,Particulier,2023-12-18,Produit_Aud_68,Audio,TechPro,100-500€,printemps,False,0.0,80 days
52,CMD-Q1-00053,CLI0076,PRD0063,2,86.81,173.62,2024-03-17,livrée,CB,PACA,EUR,Q1_2024,2024,3,1,Sunday,Lyon,Nouvelle-Aquitaine,Particulier,2020-02-24,Produit_Aud_63,Audio,ElecPlus,100-500€,printemps,False,0.0,1483 days
53,CMD-Q1-00054,CLI0427,PRD0051,1,10.76,10.76,2024-03-26,livrée,Virement,Auvergne-RA,EUR,Q1_2024,2024,3,1,Tuesday,Strasbourg,PACA,Particulier,2022-10-11,Produit_Tél_51,Téléphonie,TechPro,<100€,printemps,False,0.0,532 days
54,CMD-Q1-00055,CLI0410,PRD0037,1,48.24,48.24,2024-02-09,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Friday,Lille,Nouvelle-Aquitaine,Particulier,2023-10-12,Produit_Tél_37,Téléphonie,TechPro,<100€,hiver,False,0.0,120 days
55,CMD-Q1-00056,CLI0282,PRD0085,7,181.81,1272.67,2024-03-25,retournée,CB,PACA,EUR,Q1_2024,2024,3,1,Monday,Lyon,Nouvelle-Aquitaine,Startup,2020-09-03,Produit_Acc_85,Accessoires,DataStore,500-2000€,printemps,False,0.0,1299 days
56,CMD-Q1-00057,CLI0313,PRD0149,1,123.18,123.18,2024-01-23,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,Tuesday,Montpellier,Occitanie,Particulier,2023-07-15,,,,100-500€,hiver,False,0.0,192 days
57,CMD-Q1-00058,CLI0313,PRD0109,5,18.3,91.5,2024-01-31,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,Wednesday,Montpellier,Occitanie,Particulier,2023-07-15,,,,<100€,hiver,False,0.0,200 days
58,CMD-Q1-00059,CLI0498,PRD0058,9,118.62,1067.58,2024-02-10,livrée,CB,Occitanie,EUR,Q1_2024,2024,2,1,Saturday,Lyon,Nouvelle-Aquitaine,Particulier,2020-06-18,Produit_Aud_58,Audio,TechPro,500-2000€,hiver,False,0.0,1332 days
59,CMD-Q1-00060,CLI0381,PRD0116,1,52.36,52.36,2024-03-28,livrée,Chèque,Nouvelle-Aquitaine,EUR,Q1_2024,2024,3,1,Thursday,Lyon,Auvergne-RA,Particulier,2023-01-07,Produit_Sto_116,Stockage,DataStore,<100€,printemps,False,0.0,446 days
60,CMD-Q1-00061,CLI0016,PRD0025,7,111.14,777.98,2024-02-23,annulée,CB,PACA,EUR,Q1_2024,2024,2,1,Friday,Paris,PACA,Particulier,2020-03-03,Produit_Inf_25,Informatique,MediaShop,500-2000€,hiver,True,777.98,1452 days
61,CMD-Q1-00062,CLI0070,PRD0122,5,108.11,540.55,2024-02-17,livrée,Virement,Auvergne-RA,EUR,Q1_2024,2024,2,1,Saturday,Toulouse,Île-de-France,PME,2023-01-12,Produit_Sto_122,Stockage,ElecPlus,500-2000€,hiver,False,0.0,401 days
62,CMD-Q1-00063,CLI0109,PRD0009,8,58.82,470.56,2024-01-09,livrée,CB,PACA,EUR,Q1_2024,2024,1,1,Tuesday,Lyon,Occitanie,Grand Compte,2021-12-05,Produit_Inf_9,Informatique,ElecPlus,100-500€,hiver,False,0.0,765 days
63,CMD-Q1-00064,CLI0330,PRD0109,4,18.3,73.2,2024-03-01,inconnu,Chèque,Île-de-France,EUR,Q1_2024,2024,3,1,Friday,Montpellier,PACA,Particulier,2021-07-10,,,,<100€,printemps,False,0.0,965 days
64,CMD-Q1-00065,CLI0073,PRD0074,5,101.69,508.45,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Wednesday,Paris,Occitanie,PME,2023-03-13,,,,500-2000€,hiver,False,0.0,345 days
65,CMD-Q1-00066,CLI0287,PRD0089,7,93.09,651.63,2024-02-19,livrée,CB,Occitanie,EUR,Q1_2024,2024,2,1,Monday,Marseille,Nouvelle-Aquitaine,Startup,2020-11-02,,,,500-2000€,hiver,False,0.0,1204 days
66,CMD-Q1-00067,CLI0374,PRD0075,2,71.64,143.28,2024-03-24,en_cours,CB,PACA,EUR,Q1_2024,2024,3,1,Sunday,Toulouse,Auvergne-RA,Grand Compte,2022-05-17,,,,100-500€,printemps,False,0.0,677 days
67,CMD-Q1-00068,CLI0183,PRD0035,7,17.54,122.78,2024-01-14,livrée,PayPal,PACA,EUR,Q1_2024,2024,1,1,Sunday,Bordeaux,PACA,PME,2020-11-19,Produit_Tél_35,Téléphonie,MediaShop,100-500€,hiver,False,0.0,1151 days
68,CMD-Q1-00069,CLI0273,PRD0042,3,126.36,379.08,2024-03-03,annulée,Chèque,Auvergne-RA,EUR,Q1_2024,2024,3,1,Sunday,Nantes,Occitanie,Particulier,2021-09-19,,,,100-500€,printemps,True,379.08,896 days
69,CMD-Q1-00070,CLI0331,PRD0152,1,499.98,499.98,2024-01-26,livrée,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Friday,Nantes,PACA,PME,2023-06-11,Produit_Rés_152,Réseau,ElecPlus,100-500€,hiver,False,0.0,229 days
70,CMD-Q1-00071,CLI0112,PRD0020,8,304.72,2437.76,2024-03-26,annulée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Tuesday,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_20,Informatique,TechPro,>2000€,printemps,True,2437.76,794 days
71,CMD-Q1-00072,CLI0001,PRD0027,7,45.84,320.88,2024-03-20,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Wednesday,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Tél_27,Téléphonie,DataStore,100-500€,printemps,False,0.0,1143 days
72,CMD-Q1-00073,CLI0048,PRD0133,1,55.03,55.03,2024-01-03,en_cours,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Wednesday,Lille,Île-de-France,PME,2022-06-29,Produit_Rés_133,Réseau,DataStore,<100€,hiver,False,0.0,553 days
73,CMD-Q1-00074,CLI0206,PRD0050,2,27.92,55.84,2024-03-19,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,Tuesday,Lille,Île-de-France,Particulier,2022-04-14,Produit_Tél_50,Téléphonie,DataStore,<100€,printemps,False,0.0,705 days
74,CMD-Q1-00075,CLI0001,PRD0013,4,59.14,236.56,2024-02-03,livrée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,Saturday,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Inf_13,Informatique,ElecPlus,100-500€,hiver,False,0.0,1097 days
75,CMD-Q1-00076,CLI0310,PRD0091,8,75.28,602.24,2024-01-02,livrée,Virement,Occitanie,EUR,Q1_2024,2024,1,1,Tuesday,Nice,PACA,Grand Compte,2020-08-20,,,,500-2000€,hiver,False,0.0,1230 days
76,CMD-Q1-00077,CLI0442,PRD0080,1,131.51,131.51,2024-01-02,annulée,Virement,Île-de-France,EUR,Q1_2024,2024,1,1,Tuesday,Paris,Auvergne-RA,Grand Compte,2020-02-23,,,,100-500€,hiver,True,131.51,1409 days
77,CMD-Q1-00078,CLI0265,PRD0066,5,181.07,905.3499999999999,2024-03-26,en_cours,Virement,Occitanie,EUR,Q1_2024,2024,3,1,Tuesday,Strasbourg,Occitanie,Grand Compte,2021-05-06,,,,500-2000€,printemps,False,0.0,1055 days
78,CMD-Q1-00079,CLI0082,PRD0125,4,31.95,127.8,2024-01-27,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,1,1,Saturday,Toulouse,Nouvelle-Aquitaine,PME,2022-10-19,Produit_Rés_125,Réseau,TechPro,100-500€,hiver,False,0.0,465 days
79,CMD-Q1-00080,CLI9997,PRD0056,8,46.62,372.96,2024-01-13,livrée,CB,Île-de-France,EUR,Q1_2024,2024,1,1,Saturday,,,,,Produit_Aud_56,Audio,TechPro,100-500€,hiver,False,0.0,
80,CMD-Q1-00081,CLI0071,PRD0067,4,126.77,507.08,2024-01-18,retournée,Virement,Auvergne-RA,EUR,Q1_2024,2024,1,1,Thursday,Nantes,Nouvelle-Aquitaine,Particulier,2023-10-15,Produit_Aud_67,Audio,TechPro,500-2000€,hiver,False,0.0,95 days
81,CMD-Q1-00082,CLI0020,PRD0128,3,99.94,299.82,2024-03-28,livrée,PayPal,Île-de-France,EUR,Q1_2024,2024,3,1,Thursday,Bordeaux,Île-de-France,Particulier,2020-02-03,,,,100-500€,printemps,False,0.0,1515 days
82,CMD-Q1-00083,CLI0413,PRD0126,6,82.76,496.56000000000006,2024-02-10,livrée,Chèque,Auvergne-RA,EUR,Q1_2024,2024,2,1,Saturday,Marseille,Île-de-France,PME,2023-11-03,Produit_Rés_126,Réseau,MediaShop,100-500€,hiver,False,0.0,99 days
83,CMD-Q1-00084,CLI0403,PRD0119,8,496.56,3972.48,2024-02-26,livrée,PayPal,Occitanie,EUR,Q1_2024,2024,2,1,Monday,Bordeaux,Occitanie,Particulier,2022-04-03,Produit_Sto_119,Stockage,MediaShop,>2000€,hiver,False,0.0,694 days
84,CMD-Q1-00085,CLI0336,PRD0026,6,334.76,2008.56,2024-03-05,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Tuesday,Paris,Occitanie,PME,2022-09-30,,,,>2000€,printemps,False,0.0,522 days
85,CMD-Q1-00086,CLI0016,PRD0078,4,217.49,869.96,2024-03-11,livrée,Virement,Auvergne-RA,EUR,Q1_2024,2024,3,1,Monday,Paris,PACA,Particulier,2020-03-03,Produit_Acc_78,Accessoires,DataStore,500-2000€,printemps,False,0.0,1469 days
86,CMD-Q1-00087,CLI0198,PRD0058,5,118.62,593.1,2024-03-23,livrée,CB,Auvergne-RA,EUR,Q1_2024,2024,3,1,Saturday,Paris,Nouvelle-Aquitaine,Grand Compte,2021-05-31,Produit_Aud_58,Audio,TechPro,500-2000€,printemps,False,0.0,1027 days
87,CMD-Q1-00088,CLI0317,PRD0069,9,106.11,954.99,2024-01-02,en_cours,CB,Occitanie,EUR,Q1_2024,2024,1,1,Tuesday,Paris,Nouvelle-Aquitaine,Grand Compte,2021-10-16,Produit_Aud_69,Audio,DataStore,500-2000€,hiver,False,0.0,808 days
88,CMD-Q1-00089,CLI0032,PRD0058,3,118.62,355.86,2024-01-31,en_cours,CB,Île-de-France,EUR,Q1_2024,2024,1,1,Wednesday,Nice,Occitanie,PME,2022-03-04,Produit_Aud_58,Audio,TechPro,100-500€,hiver,False,0.0,698 days
89,CMD-Q1-00090,CLI0444,PRD0126,5,82.76,413.8,2024-03-21,livrée,PayPal,Auvergne-RA,EUR,Q1_2024,2024,3,1,Thursday,Montpellier,Nouvelle-Aquitaine,Particulier,2021-01-11,Produit_Rés_126,Réseau,MediaShop,100-500€,printemps,False,0.0,1165 days
90,CMD-Q1-00091,CLI0127,PRD0130,2,186.38,372.76,2024-02-05,livrée,CB,Île-de-France,EUR,Q1_2024,2024,2,1,Monday,Toulouse,Occitanie,Particulier,2022-07-04,Produit_Rés_130,Réseau,DataStore,100-500€,hiver,False,0.0,581 days
91,CMD-Q1-00092,CLI0429,PRD0041,5,48.15,240.75,2024-03-28,livrée,CB,Île-de-France,EUR,Q1_2024,2024,3,1,Thursday,Toulouse,Île-de-France,Particulier,2022-12-28,Produit_Tél_41,Téléphonie,TechPro,100-500€,printemps,False,0.0,456 days
92,CMD-Q1-00093,CLI0306,PRD0117,1,69.72,69.72,2024-02-09,en_cours,CB,Auvergne-RA,EUR,Q1_2024,2024,2,1,Friday,Nantes,Île-de-France,Grand Compte,2021-07-26,Produit_Sto_117,Stockage,ElecPlus,<100€,hiver,False,0.0,928 days
93,CMD-Q1-00094,CLI0073,PRD0017,2,222.33,444.66,2024-01-14,en_cours,CB,Auvergne-RA,EUR,Q1_2024,2024,1,1,Sunday,Paris,Occitanie,PME,2023-03-13,Produit_Inf_17,Informatique,MediaShop,100-500€,hiver,False,0.0,307 days
94,CMD-Q1-00095,CLI0346,PRD0019,5,62.97,314.85,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Wednesday,Paris,Île-de-France,PME,2022-04-19,,,,100-500€,hiver,False,0.0,673 days
95,CMD-Q1-00096,CLI0131,PRD0063,1,86.81,86.81,2024-02-18,en_cours,CB,Nouvelle-Aquitaine,EUR,Q1_2024,2024,2,1,Sunday,Paris,PACA,Particulier,2020-02-08,Produit_Aud_63,Audio,ElecPlus,<100€,hiver,False,0.0,1471 days
96,CMD-Q1-00097,CLI0025,PRD0049,1,65.78,65.78,2024-01-10,livrée,CB,Occitanie,EUR,Q1_2024,2024,1,1,Wednesday,Lyon,Nouvelle-Aquitaine,Particulier,2022-09-10,Produit_Tél_49,Téléphonie,TechPro,<100€,hiver,False,0.0,487 days
